id,title,image,content,author_username,post_type,views,created_at,updated_at
c67049ba-5b57-4eb9-bf8c-7da6b4a24ed1,Reaksi fans terhadap susunan pemain lawan Thailand,null,"Banyak fans terkejut dengan keputusan pelatih. Di media sosial ramai perdebatan — ada yang mendukung keputusan itu, ada juga yang tidak setuju.",user14,official,2848,2025-07-06 07:09:23,2025-08-16 06:18:19
637db1a9-42d5-4f6f-b0f7-69e453867e16,Ulasan: Indonesia 4-1 Vietnam di Jakarta,null,"Laga di Jakarta berlangsung sengit. Indonesia tampil cukup baik di babak pertama; Rizky berperan penting di menit 12. Skor akhir 4-1. Pertahanan masih perlu ditingkatkan, tapi serangan dari sayap cukup menjanjikan.",user70,personal,7223,2024-11-28 19:43:37,2025-01-25 00:48:55
5c50ab94-1821-435a-a8f9-1a7819e94c0e,Kinerja Rizky sebagai sayap,null,"Rizky bermain sebagai sayap dan menunjukkan permainan yang cukup baik. Beberapa umpan akurat, tapi penyelesaian akhir masih kurang. Masih bisa berkembang.",user44,personal,3039,2024-08-13 04:42:59,2024-08-22 14:04:54
8abc46eb-aa19-420a-bda5-43e3ab64188d,Kinerja Evan sebagai kiper,null,"Evan bermain sebagai kiper dan menunjukkan permainan yang cukup baik. Beberapa umpan akurat, tapi penyelesaian akhir masih kurang. Masih bisa berkembang.",user38,official,11850,2025-06-15 21:14:53,2025-07-04 13:18:46
b040391c-8045-4e3e-9a0f-c97afe79c79e,Reaksi fans terhadap susunan pemain lawan Thailand,null,"Banyak fans terkejut dengan keputusan pelatih. Di media sosial ramai perdebatan — ada yang mendukung keputusan itu, ada juga yang tidak setuju.",user13,personal,9108,2024-12-05 08:21:40,2025-01-09 18:28:54
5eb3ae8d-8745-4d65-9813-559d847d15f1,Pratinjau melawan Korsel — apa yang bisa diharapkan,null,"Menjelang laga melawan Korsel di ajang Kualifikasi Piala Asia, pelatih diperkirakan akan menggunakan strategi bertahan. Kita perlu waspadai kecepatan lawan dan peran bek sayap. Pendapat kalian?",user69,personal,5354,2024-12-19 02:18:35,2025-01-24 22:30:17
e6be87c1-b8ff-45b5-9037-62cce73515b7,Kinerja Rendy sebagai gelandang,null,"Rendy bermain sebagai gelandang dan menunjukkan permainan yang cukup baik. Beberapa umpan akurat, tapi penyelesaian akhir masih kurang. Masih bisa berkembang.",user52,personal,2168,2023-11-24 18:00:37,2024-01-18 19:38:08
5110774e-a9a5-4d42-8fc1-8ad0f01680e6,Reaksi fans terhadap susunan pemain lawan Australia,null,"Banyak fans terkejut dengan keputusan pelatih. Di media sosial ramai perdebatan — ada yang mendukung keputusan itu, ada juga yang tidak setuju.",user34,personal,8081,2025-05-22 01:19:15,2025-07-13 09:13:44
98dff5c6-df9d-4dce-82d8-983795f7e38e,Kinerja Dedi sebagai kiper,null,"Dedi bermain sebagai kiper dan menunjukkan permainan yang cukup baik. Beberapa umpan akurat, tapi penyelesaian akhir masih kurang. Masih bisa berkembang.",user64,personal,1543,2023-06-20 08:00:57,2023-07-05 04:09:42
b01c00d1-4c72-4781-ac9d-73349aee7036,Reaksi fans terhadap susunan pemain lawan Arab Saudi,null,"Banyak fans terkejut dengan keputusan pelatih. Di media sosial ramai perdebatan — ada yang mendukung keputusan itu, ada juga yang tidak setuju.",user60,official,8238,2025-05-09 09:45:22,2025-05-10 12:30:31
37214782-11cb-4189-89bb-93303ffce95d,Reaksi fans terhadap susunan pemain lawan Jepang,null,"Banyak fans terkejut dengan keputusan pelatih. Di media sosial ramai perdebatan — ada yang mendukung keputusan itu, ada juga yang tidak setuju.",user21,official,106,2024-02-14 03:51:19,2024-04-02 18:18:19
15bef749-9f3f-4285-97e1-c9b03fd5ec95,Prediksi susunan pemain lawan Vietnam (3-4-3),null,Diperkirakan Andi akan bermain di lini depan. Campuran pemain muda dan senior membuat keseimbangan menarik. Apa pilihan kalian?,user21,official,17378,2023-01-01 21:19:18,2023-03-01 00:57:49
